[INFO ][2017-06-21 16:51:11,452][DruidDataSource:669] {dataSource-77} inited
[INFO ][2017-06-21 16:51:11,462][DruidDataSource:1385] {dataSource-77} closed
[INFO ][2017-06-21 16:51:11,548][DruidDataSource:669] {dataSource-78} inited
[INFO ][2017-06-21 16:51:11,558][DruidDataSource:1385] {dataSource-78} closed
[INFO ][2017-06-21 16:51:11,689][DruidDataSource:669] {dataSource-79} inited
[INFO ][2017-06-21 16:51:11,708][DruidDataSource:1385] {dataSource-79} closed
[INFO ][2017-06-21 16:51:11,804][DruidDataSource:669] {dataSource-80} inited
[INFO ][2017-06-21 16:51:11,813][DruidDataSource:1385] {dataSource-80} closed
[INFO ][2017-06-21 16:51:11,899][DruidDataSource:669] {dataSource-81} inited
[INFO ][2017-06-21 16:51:11,908][DruidDataSource:1385] {dataSource-81} closed
[INFO ][2017-06-21 16:51:12,181][DruidDataSource:669] {dataSource-82} inited
[INFO ][2017-06-21 16:51:12,195][DruidDataSource:1385] {dataSource-82} closed
[INFO ][2017-06-21 16:51:12,271][DruidDataSource:669] {dataSource-83} inited
[INFO ][2017-06-21 16:51:12,279][DruidDataSource:1385] {dataSource-83} closed
[INFO ][2017-06-21 16:51:12,411][DruidDataSource:669] {dataSource-84} inited
[INFO ][2017-06-21 16:51:12,422][DruidDataSource:1385] {dataSource-84} closed
[INFO ][2017-06-21 16:51:12,522][DruidDataSource:669] {dataSource-85} inited
[INFO ][2017-06-21 16:51:12,531][DruidDataSource:1385] {dataSource-85} closed
[INFO ][2017-06-21 16:51:12,619][DruidDataSource:669] {dataSource-86} inited
[INFO ][2017-06-21 16:51:12,632][DruidDataSource:1385] {dataSource-86} closed
[INFO ][2017-06-21 16:51:12,788][DruidDataSource:669] {dataSource-87} inited
[INFO ][2017-06-21 16:51:12,800][DruidDataSource:1385] {dataSource-87} closed
[INFO ][2017-06-21 16:51:12,879][DruidDataSource:669] {dataSource-88} inited
[INFO ][2017-06-21 16:51:12,887][DruidDataSource:1385] {dataSource-88} closed
[INFO ][2017-06-21 16:51:13,035][DruidDataSource:669] {dataSource-89} inited
[INFO ][2017-06-21 16:51:13,052][DruidDataSource:1385] {dataSource-89} closed
[INFO ][2017-06-21 16:51:13,164][DruidDataSource:669] {dataSource-90} inited
[INFO ][2017-06-21 16:51:13,171][DruidDataSource:1385] {dataSource-90} closed
[INFO ][2017-06-21 16:51:13,423][DruidDataSource:669] {dataSource-91} inited
[INFO ][2017-06-21 16:51:13,439][DruidDataSource:1385] {dataSource-91} closed
[INFO ][2017-06-21 16:51:13,571][DruidDataSource:669] {dataSource-92} inited
[INFO ][2017-06-21 16:51:13,579][DruidDataSource:1385] {dataSource-92} closed
[INFO ][2017-06-21 16:51:14,096][DruidDataSource:669] {dataSource-93} inited
[INFO ][2017-06-21 16:51:14,107][DruidDataSource:1385] {dataSource-93} closed
[INFO ][2017-06-21 16:51:15,062][DruidDataSource:669] {dataSource-94} inited
[INFO ][2017-06-21 16:51:15,070][DruidDataSource:1385] {dataSource-94} closed
[INFO ][2017-06-21 16:51:15,262][DruidDataSource:669] {dataSource-95} inited
[INFO ][2017-06-21 16:51:15,271][DruidDataSource:1385] {dataSource-95} closed
[INFO ][2017-06-21 16:51:15,382][DruidDataSource:669] {dataSource-96} inited
[INFO ][2017-06-21 16:51:15,391][DruidDataSource:1385] {dataSource-96} closed
[INFO ][2017-06-21 16:51:15,669][DruidDataSource:669] {dataSource-97} inited
[INFO ][2017-06-21 16:51:15,686][DruidDataSource:1385] {dataSource-97} closed
[INFO ][2017-06-21 16:51:16,006][DruidDataSource:669] {dataSource-98} inited
[INFO ][2017-06-21 16:51:16,017][DruidDataSource:1385] {dataSource-98} closed
[INFO ][2017-06-21 16:51:16,073][DruidDataSource:669] {dataSource-99} inited
[INFO ][2017-06-21 16:51:16,084][DruidDataSource:1385] {dataSource-99} closed
[INFO ][2017-06-21 16:51:16,246][DruidDataSource:669] {dataSource-100} inited
[INFO ][2017-06-21 16:51:16,258][DruidDataSource:1385] {dataSource-100} closed
[INFO ][2017-06-21 16:51:16,358][DruidDataSource:669] {dataSource-101} inited
[INFO ][2017-06-21 16:51:16,373][DruidDataSource:1385] {dataSource-101} closed
[INFO ][2017-06-21 16:51:16,505][DruidDataSource:669] {dataSource-102} inited
[INFO ][2017-06-21 16:51:16,556][DruidDataSource:1385] {dataSource-102} closed
[INFO ][2017-06-21 16:51:16,723][DruidDataSource:669] {dataSource-103} inited
[INFO ][2017-06-21 16:51:16,770][DruidDataSource:1385] {dataSource-103} closed
[INFO ][2017-06-21 16:51:16,841][DruidDataSource:669] {dataSource-104} inited
[INFO ][2017-06-21 16:51:16,848][DruidDataSource:1385] {dataSource-104} closed
[INFO ][2017-06-21 16:51:16,920][DruidDataSource:669] {dataSource-105} inited
[INFO ][2017-06-21 16:51:16,929][DruidDataSource:1385] {dataSource-105} closed
[INFO ][2017-06-21 16:51:17,165][DruidDataSource:669] {dataSource-106} inited
[INFO ][2017-06-21 16:51:17,237][DruidDataSource:1385] {dataSource-106} closed
[INFO ][2017-06-21 16:51:17,346][DruidDataSource:669] {dataSource-107} inited
[INFO ][2017-06-21 16:51:17,354][DruidDataSource:1385] {dataSource-107} closed
[INFO ][2017-06-21 16:51:17,491][DruidDataSource:669] {dataSource-108} inited
[INFO ][2017-06-21 16:51:17,500][DruidDataSource:1385] {dataSource-108} closed
